x,y,Ma,rho/rho1,p/p1,T/T1
6.062175,26.000000,2.000000,1.000000,1.000000,1.000000
6.062175,27.000000,2.000000,1.000000,1.000000,1.000000
6.062175,28.000000,2.000000,1.000000,1.000000,1.000000
6.062175,29.000000,2.000000,1.000000,1.000000,1.000000
6.062175,30.000000,2.000000,1.000000,1.000000,1.000000
6.062175,31.000000,2.000000,1.000000,1.000000,1.000000
6.062175,32.000000,2.000000,1.000000,1.000000,1.000000
6.062175,33.000000,2.000000,1.000000,1.000000,1.000000
6.062175,34.000000,2.000000,1.000000,1.000000,1.000000
6.062175,35.000000,2.000000,1.000000,1.000000,1.000000
6.062175,36.000000,2.000000,1.000000,1.000000,1.000000
6.062175,37.000000,2.000000,1.000000,1.000000,1.000000
6.062175,38.000000,2.000000,1.000000,1.000000,1.000000
6.062175,39.000000,2.000000,1.000000,1.000000,1.000000
6.062175,40.000000,2.000000,1.000000,1.000000,1.000000
6.928199,0.000000,1.999999,1.000001,1.000001,1.000000
6.928199,1.000000,2.000000,1.000000,1.000001,1.000000
6.928199,2.000000,1.999999,1.000001,1.000001,1.000000
6.928199,3.000000,2.000000,1.000000,1.000001,1.000000
6.928199,4.000000,2.000000,1.000000,1.000000,1.000000
6.928199,5.000000,2.000000,1.000000,1.000000,1.000000
6.928199,6.000000,2.000000,1.000000,1.000000,1.000000
6.928199,7.000000,2.000000,1.000000,1.000000,1.000000
6.928199,8.000000,2.000000,1.000000,1.000000,1.000000
6.928199,9.000000,2.000000,1.000000,1.000000,1.000000
6.928199,10.000000,2.000000,1.000000,1.000000,1.000000
6.928199,11.000000,2.000000,1.000000,1.000000,1.000000
6.928199,12.000000,2.000000,1.000000,1.000000,1.000000
6.928199,13.000000,2.000000,1.000000,1.000000,1.000000
6.928199,14.000000,2.000000,1.000000,1.000000,1.000000
6.928199,15.000000,2.000000,1.000000,1.000000,1.000000
6.928199,16.000000,2.000000,1.000000,1.000000,1.000000
6.928199,17.000000,2.000000,1.000000,1.000000,1.000000
6.928199,18.000000,2.000000,1.000000,1.000000,1.000000
6.928199,19.000000,2.000000,1.000000,1.000000,1.000000
6.928199,20.000000,2.000000,1.000000,1.000000,1.000000
6.928199,21.000000,2.000000,1.000000,1.000000,1.000000
6.928199,22.000000,2.000000,1.000000,1.000000,1.000000
6.928199,23.000000,2.000000,1.000000,1.000000,1.000000
6.928199,24.000000,2.000000,1.000000,1.000000,1.000000
6.928199,25.000000,2.000000,1.000000,1.000000,1.000000
6.928199,26.000000,2.000000,1.000000,1.000000,1.000000
6.928199,27.000000,2.000000,1.000000,1.000000,1.000000
6.928199,28.000000,2.000000,1.000000,1.000000,1.000000
6.928199,29.000000,2.000000,1.000000,1.000000,1.000000
6.928199,30.000000,2.000000,1.000000,1.000000,1.000000
6.928199,31.000000,2.000000,1.000000,1.000000,1.000000
6.928199,32.000000,2.000000,1.000000,1.000000,1.000000
6.928199,33.000000,2.000000,1.000000,1.000000,1.000000
6.928199,34.000000,2.000000,1.000000,1.000000,1.000000
6.928199,35.000000,2.000000,1.000000,1.000000,1.000000
6.928199,36.000000,2.000000,1.000000,1.000000,1.000000
6.928199,37.000000,2.000000,1.000000,1.000000,1.000000
6.928199,38.000000,2.000000,1.000000,1.000000,1.000000
6.928199,39.000000,2.000000,1.000000,1.000000,1.000000
6.928199,40.000000,2.000000,1.000000,1.000000,1.000000
7.794224,0.000000,1.999999,1.000001,1.000001,1.000000
7.794224,1.000000,2.000000,1.000000,1.000001,1.000000
7.794224,2.000000,1.999999,1.000001,1.000001,1.000000
7.794224,3.000000,2.000000,1.000000,1.000001,1.000000
7.794224,4.000000,2.000000,1.000000,1.000000,1.000000
7.794224,5.000000,2.000000,1.000000,1.000000,1.000000
7.794224,6.000000,2.000000,1.000000,1.000000,1.000000
7.794224,7.000000,2.000000,1.000000,1.000000,1.000000
7.794224,8.000000,2.000000,1.000000,1.000000,1.000000
7.794224,9.000000,2.000000,1.000000,1.000000,1.000000
7.794224,10.000000,2.000000,1.000000,1.000000,1.000000
7.794224,11.000000,2.000000,1.000000,1.000000,1.000000
7.794224,12.000000,2.000000,1.000000,1.000000,1.000000
7.794224,13.000000,2.000000,1.000000,1.000000,1.000000
7.794224,14.000000,2.000000,1.000000,1.000000,1.000000
7.794224,15.000000,2.000000,1.000000,1.000000,1.000000
7.794224,16.000000,2.000000,1.000000,1.000000,1.000000
